Frequency_Hz,Amplitude
163.1816318,2.614481192
163.3456335,0.526177395
163.5096351,1.650571432
163.6736367,2.357848306
163.8376384,1.842211069
164.00164,1.46323276
164.1656417,1.560693521
164.3296433,0.84972512
164.4936449,2.100473301
164.6576466,1.564625356
164.8216482,1.638724741
164.9856499,0.894858478
165.1496515,1.833538592
165.3136531,1.573112048
165.4776548,1.795336561
165.6416564,0.717085891
165.8056581,1.014589704
165.9696597,2.208169737
166.1336613,0.865264975
166.297663,1.935990972
166.4616646,2.139398043
166.6256663,0.4333931
166.7896679,1.949938804
166.9536695,1.029946492
167.1176712,1.307310504
167.2816728,1.755960031
167.4456745,0.615958438
167.6096761,0.827758303
167.7736777,1.494870336
167.9376794,1.114937374
168.101681,1.357556384
168.2656827,1.58299467
168.4296843,2.534955169
168.5936859,1.862578878
168.7576876,2.10451258
168.9216892,1.410097587
169.0856909,1.202813739
169.2496925,2.287739815
169.4136941,0.299651037
169.5776958,0.920226022
169.7416974,2.902775298
169.9056991,0.058191983
170.0697007,1.784683679
170.2337023,0.983634923
170.397704,2.358519086
170.5617056,0.582766016
170.7257073,2.021327831
170.8897089,1.400009613
171.0537105,1.845461279
171.2177122,0.368474384
171.3817138,2.751785327
171.5457155,2.364523124
171.7097171,1.004519148
171.8737187,3.065056777
172.0377204,1.892371601
172.201722,0.816654362
172.3657237,2.46833959
172.5297253,1.484039524
172.6937269,2.104153794
172.8577286,0.677740471
173.0217302,1.578917496
173.1857319,0.14635097
173.3497335,1.734537674
173.5137351,0.884159859
173.6777368,1.182414779
173.8417384,0.490652946
174.0057401,1.328486989
174.1697417,1.454077686
174.3337433,2.04897907
174.497745,0.633662266
174.6617466,2.275190671
174.8257483,3.124282037
174.9897499,0.914650657
175.1537515,1.915698947
175.3177532,1.726779315
175.4817548,1.521856835
175.6457565,1.887385752
175.8097581,1.132723295
175.9737597,0.412281942
176.1377614,0.795860772
176.301763,1.754754024
176.4657647,0.750982895
176.6297663,1.521581078
176.7937679,1.770113162
176.9577696,1.643136601
177.1217712,1.291082717
177.2857729,0.281791138
177.4497745,1.386172076
177.6137761,2.648910628
177.7777778,0.853145754
177.9417794,1.19419075
178.1057811,3.594203804
178.2697827,1.616229269
178.4337843,1.336377295
178.597786,1.396812877
178.7617876,1.774068117
178.9257893,0.729740896
179.0897909,1.415921309
179.2537925,1.403272833
179.4177942,1.270294062
179.5817958,1.47797178
179.7457975,1.101118158
179.9097991,0.541792997
180.0738007,2.2021239
180.2378024,1.766603723
180.401804,0.892427552
180.5658057,0.879342995
180.7298073,1.427052448
180.8938089,2.90876154
181.0578106,0.584010787
181.2218122,1.657057041
181.3858139,1.686180867
181.5498155,2.006354012
181.7138171,1.262050156
181.8778188,1.03654917
182.0418204,1.087734761
182.2058221,1.111434228
182.3698237,0.06691622
182.5338253,2.048756804
182.697827,0.605036965
182.8618286,1.474747257
183.0258303,1.356477674
183.1898319,0.845448835
183.3538335,0.819543624
183.5178352,1.160359263
183.6818368,1.301749232
183.8458385,2.173182941
184.0098401,0.569335832
184.1738417,2.005898218
184.3378434,3.316671193
184.501845,1.351079907
184.6658467,2.29786364
184.8298483,2.904243553
184.9938499,2.456255857
185.1578516,1.334973345
185.3218532,3.183067116
185.4858549,2.656070907
185.6498565,1.699812856
185.8138581,2.242208013
185.9778598,2.131597373
186.1418614,1.955250732
186.3058631,2.433190311
186.4698647,1.980419698
186.6338663,1.929853435
186.797868,1.244875439
186.9618696,2.180147372
187.1258713,1.993450083
187.2898729,0.689194412
187.4538745,2.232027684
187.6178762,3.5032792
187.7818778,0.121207317
187.9458795,2.313470182
188.1098811,2.424359936
188.2738827,1.751123122
188.4378844,1.6295878
188.601886,2.925637717
188.7658877,0.648479246
188.9298893,1.293800454
189.0938909,0.373673574
189.2578926,1.099784607
189.4218942,1.069698651
189.5858959,0.214658905
189.7498975,0.575569901
189.9138991,0.489847175
190.0779008,1.158728743
190.2419024,1.130569881
190.4059041,2.021083716
190.5699057,0.817219433
190.7339073,0.398217093
190.897909,2.898993229
191.0619106,1.652102606
191.2259123,1.012920875
191.3899139,2.29160802
191.5539155,1.09150441
