Sample,Timestamp_us,Intensity
7140,1785250,468
7141,1785500,463
7142,1785750,466
7143,1786000,469
7144,1786250,470
7145,1786500,468
7146,1786750,468
7147,1787000,468
7148,1787250,471
7149,1787500,470
7150,1787750,465
7151,1788000,469
7152,1788250,468
7153,1788500,465
7154,1788750,465
7155,1789000,471
7156,1789250,465
7157,1789500,466
7158,1789750,467
7159,1790000,466
7160,1790250,470
7161,1790500,465
7162,1790750,464
7163,1791000,465
7164,1791250,465
7165,1791500,465
7166,1791750,465
7167,1792000,460
7168,1792250,464
7169,1792500,465
7170,1792750,451
7171,1793000,450
7172,1793250,454
7173,1793500,449
7174,1793750,449
7175,1794000,450
7176,1794250,450
7177,1794500,450
7178,1794750,455
7179,1795000,452
7180,1795250,451
7181,1795500,448
7182,1795750,444
7183,1796000,447
7184,1796250,445
7185,1796500,449
7186,1796750,454
7187,1797000,455
7188,1797250,449
7189,1797500,451
7190,1797750,454
7191,1798000,444
7192,1798250,452
7193,1798500,449
7194,1798750,456
7195,1799000,449
7196,1799250,451
7197,1799500,451
7198,1799750,450
7199,1800000,451
7200,1800250,450
7201,1800500,455
7202,1800750,448
7203,1801000,449
7204,1801250,446
7205,1801500,452
7206,1801750,449
7207,1802000,450
7208,1802250,448
7209,1802500,449
7210,1802750,456
7211,1803000,447
7212,1803250,445
7213,1803500,448
7214,1803750,444
7215,1804000,439
7216,1804250,438
7217,1804500,446
7218,1804750,443
7219,1805000,448
7220,1805250,442
7221,1805500,450
7222,1805750,444
7223,1806000,443
7224,1806250,447
7225,1806500,439
7226,1806750,442
7227,1807000,438
7228,1807250,446
7229,1807500,438
7230,1807750,436
7231,1808000,443
7232,1808250,447
7233,1808500,448
7234,1808750,438
7235,1809000,438
7236,1809250,433
7237,1809500,434
7238,1809750,436
7239,1810000,436
7240,1810250,438
7241,1810500,436
7242,1810750,432
7243,1811000,433
7244,1811250,434
7245,1811500,432
7246,1811750,433
7247,1812000,433
7248,1812250,433
7249,1812500,433
7250,1812750,433
7251,1813000,433
7252,1813250,436
7253,1813500,433
7254,1813750,434
7255,1814000,428
7256,1814250,433
7257,1814500,440
